ID,POS_1,POS_2,POS_3,POS_4,POS_5,POS_6,POS_7,POS_8,POS_9,Decisions
58,0,0,1,1,1,0,2,2,0,0
160,0,0,1,2,2,2,0,1,1,1
162,0,0,1,2,2,2,0,2,1,0
287,0,0,2,2,0,1,1,1,2,1
500,0,1,0,2,1,2,1,0,0,2
618,0,1,1,2,0,1,0,0,2,0
886,0,2,0,0,2,1,1,0,1,2
1250,0,2,2,0,1,2,1,0,1,2
1587,1,0,0,2,1,2,1,0,0,0
1610,1,0,0,2,2,1,2,0,1,1
2154,1,1,2,0,2,1,0,0,2,1
2366,1,2,0,2,1,2,0,2,0,1
2425,1,2,1,0,1,0,0,0,2,0
2587,1,2,2,0,2,2,0,2,2,0
2591,1,2,2,0,2,2,2,0,1,1
2712,2,0,0,0,1,1,1,0,2,2
2756,2,0,0,1,0,2,2,1,1,1
3228,2,0,2,1,2,1,0,0,2,0
3547,2,1,1,0,0,2,0,1,0,0
3582,2,1,1,0,2,1,0,0,2,1
3782,2,1,2,2,0,0,2,2,1,1
3843,2,2,0,0,0,1,1,1,0,2
3876,2,2,0,0,1,2,0,2,1,0
4037,2,2,0,2,1,2,2,2,0,2
4157,2,2,1,1,0,0,1,0,2,1
0,0,0,1,0,0,1,1,1,2,1
1,0,0,1,0,0,1,1,2,2,1
2,0,0,1,0,0,1,2,1,2,1
3,0,0,1,0,0,2,1,1,2,1
4,0,0,1,0,0,2,1,2,1,1
5,0,0,1,0,0,2,2,1,1,1
6,0,0,1,0,1,0,2,1,1,1
7,0,0,1,0,1,0,2,1,2,1
8,0,0,1,0,1,0,2,2,1,1
9,0,0,1,0,1,1,2,0,2,1
10,0,0,1,0,1,1,2,1,0,1
11,0,0,1,0,1,1,2,2,0,1
12,0,0,1,0,1,1,2,2,2,1
13,0,0,1,0,1,2,2,0,1,1
14,0,0,1,0,1,2,2,1,0,1
15,0,0,1,0,1,2,2,1,2,1
16,0,0,1,0,1,2,2,2,1,1
17,0,0,1,0,1,2,2,2,2,1
18,0,0,1,0,2,0,1,1,2,1
19,0,0,1,0,2,0,1,2,1,1
20,0,0,1,0,2,0,2,1,1,1
21,0,0,1,0,2,1,1,0,2,1
